year,month,date_of_month,day_of_week,births
1970-01-01 00:00:00.000001997,6,21,6,8751
1970-01-01 00:00:00.000001997,6,22,7,8199
1970-01-01 00:00:00.000001997,6,23,1,11031
1970-01-01 00:00:00.000001997,6,24,2,12511
1970-01-01 00:00:00.000001997,6,25,3,12264
1970-01-01 00:00:00.000001997,6,26,4,12291
1970-01-01 00:00:00.000001997,6,27,5,11916
1970-01-01 00:00:00.000001997,6,28,6,9184
1970-01-01 00:00:00.000001997,6,29,7,7823
1970-01-01 00:00:00.000001997,6,30,1,11198
1970-01-01 00:00:00.000001997,7,1,2,13003
1970-01-01 00:00:00.000001997,7,2,3,12820
1970-01-01 00:00:00.000001997,7,3,4,12433
1970-01-01 00:00:00.000001997,7,4,5,9445
1970-01-01 00:00:00.000001997,7,5,6,8255
1970-01-01 00:00:00.000001997,7,6,7,7860
1970-01-01 00:00:00.000001997,7,7,1,11501
1970-01-01 00:00:00.000001997,7,8,2,12927
1970-01-01 00:00:00.000001997,7,9,3,12292
1970-01-01 00:00:00.000001997,7,10,4,12451
1970-01-01 00:00:00.000001997,7,11,5,12132
1970-01-01 00:00:00.000001997,7,12,6,8841
1970-01-01 00:00:00.000001997,7,13,7,8092
1970-01-01 00:00:00.000001997,7,14,1,11198
1970-01-01 00:00:00.000001997,7,15,2,12625
1970-01-01 00:00:00.000001997,7,16,3,12474
1970-01-01 00:00:00.000001997,7,17,4,12552
1970-01-01 00:00:00.000001997,7,18,5,12101
1970-01-01 00:00:00.000001997,7,19,6,9055
1970-01-01 00:00:00.000001997,7,20,7,7973
1970-01-01 00:00:00.000001997,7,21,1,11410
1970-01-01 00:00:00.000001997,7,22,2,12928
1970-01-01 00:00:00.000001997,7,23,3,12319
1970-01-01 00:00:00.000001997,7,24,4,11988
1970-01-01 00:00:00.000001997,7,25,5,12178
1970-01-01 00:00:00.000001997,7,26,6,8939
1970-01-01 00:00:00.000001997,7,27,7,8213
1970-01-01 00:00:00.000001997,7,28,1,11465
1970-01-01 00:00:00.000001997,7,29,2,12482
1970-01-01 00:00:00.000001997,7,30,3,12356
1970-01-01 00:00:00.000001997,7,31,4,12198
1970-01-01 00:00:00.000001997,8,1,5,12084
1970-01-01 00:00:00.000001997,8,2,6,8775
1970-01-01 00:00:00.000001997,8,3,7,8044
1970-01-01 00:00:00.000001997,8,4,1,11189
1970-01-01 00:00:00.000001997,8,5,2,12585
1970-01-01 00:00:00.000001997,8,6,3,12046
1970-01-01 00:00:00.000001997,8,7,4,12141
1970-01-01 00:00:00.000001997,8,8,5,12110
1970-01-01 00:00:00.000001997,8,9,6,8876
1970-01-01 00:00:00.000001997,8,10,7,8174
1970-01-01 00:00:00.000001997,8,11,1,11274
1970-01-01 00:00:00.000001997,8,12,2,12632
1970-01-01 00:00:00.000001997,8,13,3,11963
1970-01-01 00:00:00.000001997,8,14,4,12342
1970-01-01 00:00:00.000001997,8,15,5,12240
1970-01-01 00:00:00.000001997,8,16,6,9066
1970-01-01 00:00:00.000001997,8,17,7,8125
1970-01-01 00:00:00.000001997,8,18,1,11387
1970-01-01 00:00:00.000001997,8,19,2,12479
1970-01-01 00:00:00.000001997,8,20,3,12394
1970-01-01 00:00:00.000001997,8,21,4,12121
1970-01-01 00:00:00.000001997,8,22,5,12081
1970-01-01 00:00:00.000001997,8,23,6,8950
1970-01-01 00:00:00.000001997,8,24,7,8053
1970-01-01 00:00:00.000001997,8,25,1,11094
1970-01-01 00:00:00.000001997,8,26,2,12577
1970-01-01 00:00:00.000001997,8,27,3,12270
1970-01-01 00:00:00.000001997,8,28,4,12475
1970-01-01 00:00:00.000001997,8,29,5,12422
1970-01-01 00:00:00.000001997,8,30,6,9078
1970-01-01 00:00:00.000001997,8,31,7,8075
1970-01-01 00:00:00.000001997,9,1,1,8116
1970-01-01 00:00:00.000001997,9,2,2,11307
1970-01-01 00:00:00.000001997,9,3,3,12720
1970-01-01 00:00:00.000001997,9,4,4,12462
1970-01-01 00:00:00.000001997,9,5,5,12454
1970-01-01 00:00:00.000001997,9,6,6,9074
1970-01-01 00:00:00.000001997,9,7,7,8281
1970-01-01 00:00:00.000001997,9,8,1,11244
1970-01-01 00:00:00.000001997,9,9,2,12457
1970-01-01 00:00:00.000001997,9,10,3,12182
1970-01-01 00:00:00.000001997,9,11,4,12467
1970-01-01 00:00:00.000001997,9,12,5,12394
1970-01-01 00:00:00.000001997,9,13,6,9053
1970-01-01 00:00:00.000001997,9,14,7,8265
1970-01-01 00:00:00.000001997,9,15,1,11584
1970-01-01 00:00:00.000001997,9,16,2,12891
1970-01-01 00:00:00.000001997,9,17,3,12793
1970-01-01 00:00:00.000001997,9,18,4,12372
1970-01-01 00:00:00.000001997,9,19,5,12560
1970-01-01 00:00:00.000001997,9,20,6,8968
1970-01-01 00:00:00.000001997,9,21,7,8253
1970-01-01 00:00:00.000001997,9,22,1,11474
1970-01-01 00:00:00.000001997,9,23,2,12621
1970-01-01 00:00:00.000001997,9,24,3,12193
1970-01-01 00:00:00.000001997,9,25,4,12132
1970-01-01 00:00:00.000001997,9,26,5,12057
1970-01-01 00:00:00.000001997,9,27,6,9119
1970-01-01 00:00:00.000001997,9,28,7,8104
1970-01-01 00:00:00.000001997,9,29,1,11453
1970-01-01 00:00:00.000001997,9,30,2,12550
1970-01-01 00:00:00.000001997,10,1,3,12161
1970-01-01 00:00:00.000001997,10,2,4,11903
1970-01-01 00:00:00.000001997,10,3,5,11939
1970-01-01 00:00:00.000001997,10,4,6,8787
1970-01-01 00:00:00.000001997,10,5,7,7726
1970-01-01 00:00:00.000001997,10,6,1,11123
1970-01-01 00:00:00.000001997,10,7,2,12261
1970-01-01 00:00:00.000001997,10,8,3,11689
1970-01-01 00:00:00.000001997,10,9,4,11623
1970-01-01 00:00:00.000001997,10,10,5,11627
1970-01-01 00:00:00.000001997,10,11,6,8489
1970-01-01 00:00:00.000001997,10,12,7,7358
1970-01-01 00:00:00.000001997,10,13,1,10180
1970-01-01 00:00:00.000001997,10,14,2,11859
1970-01-01 00:00:00.000001997,10,15,3,11450
1970-01-01 00:00:00.000001997,10,16,4,11481
1970-01-01 00:00:00.000001997,10,17,5,11451
1970-01-01 00:00:00.000001997,10,18,6,8393
1970-01-01 00:00:00.000001997,10,19,7,7604
1970-01-01 00:00:00.000001997,10,20,1,10782
1970-01-01 00:00:00.000001997,10,21,2,11957
1970-01-01 00:00:00.000001997,10,22,3,11490
1970-01-01 00:00:00.000001997,10,23,4,11561
1970-01-01 00:00:00.000001997,10,24,5,11607
1970-01-01 00:00:00.000001997,10,25,6,8438
1970-01-01 00:00:00.000001997,10,26,7,8000
1970-01-01 00:00:00.000001997,10,27,1,10824
1970-01-01 00:00:00.000001997,10,28,2,11753
1970-01-01 00:00:00.000001997,10,29,3,11593
1970-01-01 00:00:00.000001997,10,30,4,11406
1970-01-01 00:00:00.000001997,10,31,5,10142
1970-01-01 00:00:00.000001997,11,1,6,8706
1970-01-01 00:00:00.000001997,11,2,7,7884
1970-01-01 00:00:00.000001997,11,3,1,10909
1970-01-01 00:00:00.000001997,11,4,2,12210
1970-01-01 00:00:00.000001997,11,5,3,11704
1970-01-01 00:00:00.000001997,11,6,4,11608
1970-01-01 00:00:00.000001997,11,7,5,11624
1970-01-01 00:00:00.000001997,11,8,6,8577
1970-01-01 00:00:00.000001997,11,9,7,7794
1970-01-01 00:00:00.000001997,11,10,1,10796
1970-01-01 00:00:00.000001997,11,11,2,12022
1970-01-01 00:00:00.000001997,11,12,3,11485
1970-01-01 00:00:00.000001997,11,13,4,11233
1970-01-01 00:00:00.000001997,11,14,5,11615
1970-01-01 00:00:00.000001997,11,15,6,8483
1970-01-01 00:00:00.000001997,11,16,7,7757
1970-01-01 00:00:00.000001997,11,17,1,10945
1970-01-01 00:00:00.000001997,11,18,2,12014
1970-01-01 00:00:00.000001997,11,19,3,11529
1970-01-01 00:00:00.000001997,11,20,4,11754
1970-01-01 00:00:00.000001997,11,21,5,11930
1970-01-01 00:00:00.000001997,11,22,6,8769
1970-01-01 00:00:00.000001997,11,23,7,7803
1970-01-01 00:00:00.000001997,11,24,1,11583
1970-01-01 00:00:00.000001997,11,25,2,12618
1970-01-01 00:00:00.000001997,11,26,3,11216
1970-01-01 00:00:00.000001997,11,27,4,7680
1970-01-01 00:00:00.000001997,11,28,5,9172
1970-01-01 00:00:00.000001997,11,29,6,8269
1970-01-01 00:00:00.000001997,11,30,7,7593
1970-01-01 00:00:00.000001997,12,1,1,11195
1970-01-01 00:00:00.000001997,12,2,2,12509
1970-01-01 00:00:00.000001997,12,3,3,11997
1970-01-01 00:00:00.000001997,12,4,4,11810
1970-01-01 00:00:00.000001997,12,5,5,11385
1970-01-01 00:00:00.000001997,12,6,6,8316
1970-01-01 00:00:00.000001997,12,7,7,7608
1970-01-01 00:00:00.000001997,12,8,1,10696
1970-01-01 00:00:00.000001997,12,9,2,11825
1970-01-01 00:00:00.000001997,12,10,3,11555
1970-01-01 00:00:00.000001997,12,11,4,11431
1970-01-01 00:00:00.000001997,12,12,5,11380
1970-01-01 00:00:00.000001997,12,13,6,8178
1970-01-01 00:00:00.000001997,12,14,7,7504
1970-01-01 00:00:00.000001997,12,15,1,11054
1970-01-01 00:00:00.000001997,12,16,2,12506
1970-01-01 00:00:00.000001997,12,17,3,12199
1970-01-01 00:00:00.000001997,12,18,4,12543
1970-01-01 00:00:00.000001997,12,19,5,12543
1970-01-01 00:00:00.000001997,12,20,6,8997
1970-01-01 00:00:00.000001997,12,21,7,7675
1970-01-01 00:00:00.000001997,12,22,1,12021
1970-01-01 00:00:00.000001997,12,23,2,12061
1970-01-01 00:00:00.000001997,12,24,3,9129
1970-01-01 00:00:00.000001997,12,25,4,7055
1970-01-01 00:00:00.000001997,12,26,5,10075
1970-01-01 00:00:00.000001997,12,27,6,8679
1970-01-01 00:00:00.000001997,12,28,7,7864
1970-01-01 00:00:00.000001997,12,29,1,12206
1970-01-01 00:00:00.000001997,12,30,2,13521
1970-01-01 00:00:00.000001997,12,31,3,11818
1970-01-01 00:00:00.000001998,1,1,4,8213
1970-01-01 00:00:00.000001998,1,2,5,9784
1970-01-01 00:00:00.000001998,1,3,6,8437
1970-01-01 00:00:00.000001998,1,4,7,7807
1970-01-01 00:00:00.000001998,1,5,1,10556
1970-01-01 00:00:00.000001998,1,6,2,11843
1970-01-01 00:00:00.000001998,1,7,3,11428
1970-01-01 00:00:00.000001998,1,8,4,11526
1970-01-01 00:00:00.000001998,1,9,5,11469
1970-01-01 00:00:00.000001998,1,10,6,8612
1970-01-01 00:00:00.000001998,1,11,7,7642
1970-01-01 00:00:00.000001998,1,12,1,10553
1970-01-01 00:00:00.000001998,1,13,2,11850
1970-01-01 00:00:00.000001998,1,14,3,11542
1970-01-01 00:00:00.000001998,1,15,4,11491
1970-01-01 00:00:00.000001998,1,16,5,11535
1970-01-01 00:00:00.000001998,1,17,6,8698
1970-01-01 00:00:00.000001998,1,18,7,7690
1970-01-01 00:00:00.000001998,1,19,1,10325
1970-01-01 00:00:00.000001998,1,20,2,11806
1970-01-01 00:00:00.000001998,1,21,3,11650
1970-01-01 00:00:00.000001998,1,22,4,11680
1970-01-01 00:00:00.000001998,1,23,5,11389
1970-01-01 00:00:00.000001998,1,24,6,8525
1970-01-01 00:00:00.000001998,1,25,7,7586
1970-01-01 00:00:00.000001998,1,26,1,10771
1970-01-01 00:00:00.000001998,1,27,2,11813
1970-01-01 00:00:00.000001998,1,28,3,11483
1970-01-01 00:00:00.000001998,1,29,4,11513
1970-01-01 00:00:00.000001998,1,30,5,11616
1970-01-01 00:00:00.000001998,1,31,6,8507
